STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT11
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030217,-9999,-9999,0,-9999,-9999,161,83,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030218,-9999,-9999,0,-9999,-9999,161,78,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030219,-9999,-9999,8,-9999,-9999,139,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030220,-9999,-9999,0,-9999,-9999,183,72,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030221,-9999,-9999,0,-9999,-9999,194,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030222,-9999,-9999,0,-9999,-9999,200,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030223,-9999,-9999,0,-9999,-9999,167,94,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030224,-9999,-9999,10,-9999,-9999,156,106,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030225,-9999,-9999,5,-9999,-9999,167,106,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030226,-9999,-9999,74,-9999,-9999,128,94,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030227,-9999,-9999,0,-9999,-9999,139,67,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030228,-9999,-9999,0,-9999,-9999,172,72,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030301,-9999,-9999,0,-9999,-9999,172,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030302,-9999,-9999,0,-9999,-9999,183,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030303,-9999,-9999,0,-9999,-9999,133,83,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030304,-9999,-9999,0,-9999,-9999,150,78,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030305,-9999,-9999,0,-9999,-9999,167,78,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030306,-9999,-9999,0,-9999,-9999,161,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030307,-9999,-9999,0,-9999,-9999,150,78,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030308,-9999,-9999,0,-9999,-9999,156,78,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030309,-9999,-9999,0,-9999,-9999,161,83,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030310,-9999,-9999,0,-9999,-9999,183,106,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030311,-9999,-9999,0,-9999,-9999,167,106,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030312,-9999,-9999,0,-9999,-9999,172,117,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030313,-9999,-9999,10,-9999,-9999,178,117,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030314,-9999,-9999,53,-9999,-9999,194,133,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030315,-9999,-9999,145,-9999,-9999,167,106,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030316,-9999,-9999,94,-9999,-9999,144,100,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030317,-9999,-9999,0,-9999,-9999,161,100,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030318,-9999,-9999,0,-9999,-9999,161,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030319,-9999,-9999,46,-9999,-9999,167,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030320,-9999,-9999,0,-9999,-9999,156,100,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030321,-9999,-9999,0,-9999,-9999,156,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030322,-9999,-9999,0,-9999,-9999,150,100,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030323,-9999,-9999,56,-9999,-9999,161,100,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030324,-9999,-9999,0,-9999,-9999,167,83,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030325,-9999,-9999,0,-9999,-9999,183,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030326,-9999,-9999,30,-9999,-9999,161,106,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030327,-9999,-9999,0,-9999,-9999,172,83,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030328,-9999,-9999,0,-9999,-9999,244,144,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030329,-9999,-9999,0,-9999,-9999,256,122,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030330,-9999,-9999,0,-9999,-9999,267,139,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030331,-9999,-9999,0,-9999,-9999,156,106,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030401,-9999,-9999,0,-9999,-9999,133,94,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030402,-9999,-9999,51,-9999,-9999,128,72,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030403,-9999,-9999,15,-9999,-9999,133,61,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030404,-9999,-9999,122,-9999,-9999,133,72,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030405,-9999,-9999,0,-9999,-9999,139,61,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030406,-9999,-9999,0,-9999,-9999,150,83,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030407,-9999,-9999,0,-9999,-9999,172,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030408,-9999,-9999,0,-9999,-9999,200,100,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030409,-9999,-9999,0,-9999,-9999,189,100,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030410,-9999,-9999,0,-9999,-9999,178,106,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030411,-9999,-9999,0,-9999,-9999,167,83,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030412,-9999,-9999,234,-9999,-9999,133,106,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030413,-9999,-9999,94,-9999,-9999,139,83,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030414,-9999,-9999,3,-9999,-9999,150,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030415,-9999,-9999,0,-9999,-9999,161,83,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030416,-9999,-9999,53,-9999,-9999,156,106,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030417,-9999,-9999,0,-9999,-9999,156,100,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030418,-9999,-9999,0,-9999,-9999,161,94,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030419,-9999,-9999,0,-9999,-9999,194,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030420,-9999,-9999,0,-9999,-9999,144,100,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030421,-9999,-9999,36,-9999,-9999,133,83,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030422,-9999,-9999,56,-9999,-9999,144,78,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030423,-9999,-9999,0,-9999,-9999,150,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030424,-9999,-9999,109,-9999,-9999,139,83,-9999,-9999,-9999
